date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 22. August 2023,BahnCard-Änderungen ohne Ankündigung,"Da manche Bewertungen zu unterirdisch sind: doch 3 Sterne. Aber dass die Partner-BahnCard dieses Jahr tatsächlich auch für Kunden sang- und klanglos eingestellt wurde, nervt. V. a. da wir es erst mit der Zustellung von nur noch 1 BahnCard mitbekommen haben und es dadurch auch zu spät für die Kündigung noch in diesem Jahr ist...",4 Bewertungen,Bewertet mit 3 von 5 Sternen,Christian M.,DE,,
Datum der Erfahrung: 23. August 2023,Grandioser Lokführer im IC,"Der Lokführer im IC2048 nach Karlsruhe am 23.08.2023 nachmittags war einfach grandios! Er spricht fast alle Ansagen auch auf Englisch und Französisch und ist total nett und herzlich. Er begleitet die Fahrt sehr gut und klärt auf, wenn es mal irgendwo hakt und man nicht weiß warum. Der Zug war heute auch ziemlich pünktlich, nur vor Mainz gab es eine kurze Verzögerung. Man muss ja auch mal was positives berichten :)",1 Bewertung,Bewertet mit 5 von 5 Sternen,Miriam S,DE,,
Datum der Erfahrung: 20. August 2023,"Bei Gott, bitte tut euch das nicht an!","Das nächste Mal kauf ich mir lieber Koks und renn überall hin, als nocheinmal mit nur einem dieser mickrigen Züge zu fahren. Liebe Deutsche Bahn: Wie kann es sein, dass KEIN EIZIGER Zug, sowohl auf unserer Hin- als auch Rückfahrt, pünktlich war???? Auf der Hinfahrt insgesamt 4h Verspätung. Auf der Rückfahrt 2h. Briefe vom Finanzamt sind dafür pünktlich. Typisch Deutschland.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Diana Xxx,DE,,
Datum der Erfahrung: 19. August 2023,Behinderung im deutschen Dienst,......... ......... ......... ......... ......... wenn du als erstes H nimmst als letztes n und dazwischen urensoh setzt dann passt das.Der letzte Rotz nur noch quer Einsteiger und Rotz Koffer unterwegs Lappen die sich wichtig fühlen und nicht Mal den Fahrplan kennen ich empfehle ordentlich vorher zu trinken und viel zu trinken einzupacken den sie werden sehr lange unterwegs sein und man findet nirgends soviel Inkompetenz wir dort aber es sind auch nur Menschen die Rollstuhlfahrern zeigen das selbst laufende Menschen weniger Funktionen am körper tragen als diese Mitarbeiter,1 Bewertung,Bewertet mit 1 von 5 Sternen,Peter Lustig,DE,,
Datum der Erfahrung: 27. August 2023,1:13 genau da gewesen,"1:13 genau da gewesen, genau vor meinen Augen abgefahren um genau 1:13 Uhr !!!!Deutsche Bahn ist der letzte schei‘ !!!!!",1 Bewertung,Bewertet mit 1 von 5 Sternen,Theuner,DE,,
Datum der Erfahrung: 15. August 2023,Alles ist schiefgegangen,Alles ist schiefgegangen. Auf der Fahrt von Jena nach göttingen (Direktverbindung) 20 Minuten verspätung und auf der rückfahrt eine halbe Stunde in Gotha gewartet und in Erfurt noch Mal eine Stunde. Diesen Laden kann man dicht machen. Das nächste Mal wieder Auto.,1 Bewertung,Bewertet mit 1 von 5 Sternen,Hubert Schmidt,DE,,
Datum der Erfahrung: 18. August 2023,Inkompetenten idioten nix als…,Inkompetenten idioten nix als Verspätung I  den letzten 2 Tagen besser Kare anschaffen selber fahren  und dan noch die hohen Preise für was damit man verspätet  den nächsten Zug verpast 😡😡😡😡😡😡🖕,2 Bewertungen,Bewertet mit 1 von 5 Sternen,Jason,US,,
Datum der Erfahrung: 13. August 2023,Willkürliche Abbuchungen,"Musste bei genaueremBlick auf mein Konto feststellen, dass DB über die letzten 2 Monate fleißig jede Woche 50€ (statt 1x im monat) abgezogen hat… Wie gewohnt keine Antwort auf Mails an kundenservice und bei anrufen kommt man nicht einmal in die Warteschleife…",1 Bewertung,Bewertet mit 1 von 5 Sternen,Daniel Werner,DE,,
Datum der Erfahrung: 18. August 2023,Ich fahre mit der Bahn seit Anfang des…,"Ich fahre mit der Bahn seit Anfang des Jahres und die Bahn hat deutlich mehr Verspätungen als sie Pünktlich ist. Einfach nur unzuverlässig. Was Pünktlichkeit angeht, sollte sich die Deutsche Bahn etwas bei Japan anschauen. Viel extremerer Verkehr und trotzdem pünktlicher als die Deutsche Bahn. Ist mittlerweile nur noch ein schlechter Witz.",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Anime Maniac,DE,,
Datum der Erfahrung: 23. August 2023,Die DB ist für den Mülleimer …,Diese regelmäßige ja fast schon provozierende Unpünktlichkeit ist echt hart zum heulen. Die sollten mal lieber ihren Mist in den Griff bekommen.Die Üstra kriegt es in DE hin wieso die DB nicht ? ... Echt traurig und macht einen sauer...,1 Bewertung,Bewertet mit 1 von 5 Sternen,Tobias Kuhlmann,DE,,
