date,title,text,bewertung,sterne,author,land,nützlich,date_online
Datum der Erfahrung: 18. Mai 2024,Abzocke und Inkompetenz auf höchstem Niveau,"Ich habe meine Sachen in einem Spint eingeschlossen am Leipziger Hbf und mir wurde kein Bon ausgedruckt, um den Spint wieder zu öffnen. Ich musste 30€ dafür bezahlen, damit mir der Spint wieder aufgeschlossen wurde. Dazu war das Personal extrem unfreundlich und wollte mir noch eine Moralpredigt halten, dass ich auf meine Sachen besser aufpassen muss, obwohl der Fehler eindeutig nicht bei mir lag.",1 Bewertung,Bewertet mit 1 von 5 Sternen,Jeremy Schuhknecht,DE,,
Datum der Erfahrung: 12. Mai 2024,Hinfahrt von Basel nach Berlin…,"Hinfahrt von Basel nach Berlin gestrichen, Ersatzverbindung mit erheblicher Verspätung. Bei der Rückfahrt von Berlin nach Basel fährt der ICE erst mal 11 Minuten früher los und lässt alle Fahrgäste stehen. Einen Monat davor die gleiche Enttäuschung. Verbindung von Basel nach Chemnitz entfällt. Ersatzverbindung dauert 3 Stunden länger. Rückfahrt von Chemnitz nach Basel fällt aus wegen Streik. Seit Wochen rennen wir unseren Geld hinterher und werden immer nur hingehalten. Bei der Hotline bekommt man keine Hilfe, einmal legte die Mitarbeiterin sogar einfach auf. Hey DB, es ist Betrug wenn man eine Leistung nicht erbringt und den Kunden danach dann das Geld nicht im gesetzlich festgelegten Umfang zurück zahlt. Ihr geht davon aus, dass Eure Kunden irgendwann keine Lust mehr haben, dem Geld hinterher zu rennen und den Aufwand scheuen, einen Anwalt einzuschalten. Das nennt man ganz einfach Betrug. Wir fahren nie wieder mit der DB. Das nächste mal geht es wieder mit dem Flieger nach Berlin oder Dresden. ",3 Bewertungen,Bewertet mit 1 von 5 Sternen,J. Schäfer,CH,,
Datum der Erfahrung: 27. Mai 2024,Falsche Beratung bei der Deutschen Bahn ,"Meine Mutter hatte für heute Fahrt von Braunschweig nach Wiesbaden mit IC gebucht. Sie besitzt auch die DB App und hat Infos zur Reise durch DB aktiviert! 1 Stunde vor der Abfahrt schauten wir mal im Internet wegen dem Gleis und lasen, dass der Zug komplett ausfällt wegen Unwetter…dies wurde in der App gar nicht angezeigt! Daraufhin rief ich die Hotline der deutschen Bahn an und hatte einen komplett unfreundlichen und unfähigen Mitarbeiter am Telefon der mir erklärte, meine Mutter müsste sich nun für die Alternativen ein neues Ticket kaufen, da heute für die Strecke nur ICE fahren und ihr Ticket dafür nicht gilt. Später könnte sie sich die Differenz an einem DB Schalter im Zielbahnhof mit ausgefülltem Formular zurück erstatten lassen. Das ist natürlich kompletter Unsinn, da bei Zugausfall keine zugbindung mehr besteht….zum Glück fand ich im Internet entsprechende korrekte Informationen.Der Mitarbeiter der DB war nicht nur unfähig sondern wurde auch noch frech. Ich hoffe sehr das Gespräch wurde aufgezeichnet und hat Konsequenzen für ihn. Ohne meine Hilfe wäre meine Mutter komplett hilflos gewesen. Traurig was die Bahn sich so leistet.",6 Bewertungen,Bewertet mit 1 von 5 Sternen,Daniela M.W.,DE,,
Datum der Erfahrung: 19. Mai 2024,D.-Ticket Abo,"Ich habe mein D.Ticket fristgerecht gekündigt (am 08.05.2024, Abo.Nr. 586385300) und dafür auch eine Bestätigung erhalten. Soweit alles gut.Doch plötzlich erhielt ich per Email ein weiteres Abo mit einer völlig anderen Abo-Nr. (588442973), das von mir nicht beauftragt worden ist!!! Habe umgehend geschrieben, das nicht beauftragte Abo mit sofortiger Wirkung und kostenfrei zu stornieren, erhielt jedoch den Hinweis, dass dies nicht möglich sei - und ein Widerruf ausgeschlossen.  Es ist nur völlig unverständlich, woher dieser 2. - von mir nicht beauftragte - Abovertrag herkommt.  MfG, H. Brandes",2 Bewertungen,Bewertet mit 1 von 5 Sternen,brandes,DE,,
Datum der Erfahrung: 25. Mai 2024,Unpünktlichkeit Deutsche Bahn ,"Wenn ich könnte, würde ich gar keinen Stern bewerten. Es ist  eine einzige Katastrophe. Ständig Verspätungen, sodass man keinen seiner Anschlussgebühr erreicht. Dann steht man auf den Bahnhöfen und muss meistens 1 Stunde auf den nächsten Zuf warten. Kommen 1,5 Stunden später am Ziel an. Ging uns jetzt schon zum zweiten mal so. Nie wieder Deutsche Bahn",3 Bewertungen,Bewertet mit 1 von 5 Sternen,Manuela Glatzer,DE,,
Datum der Erfahrung: 29. Mai 2024,Ich habe das 49-€-Ticket im Januar und…,"Ich habe das 49-€-Ticket im Januar und Februar gekauft. Im März habe ich das gleiche Ticket noch einmal in meinem Namen gekauft, weil ich glaubte, es sei nur ein Ticket, wenn es ein Abonnement sei.Ich habe mein Bankkonto überprüft und festgestellt, dass -700 € von meinem Konto abgebucht wurden, da sie im Januar mehrere Abonnements für mich erstellt haben, ohne eine Warnung oder Rechnung zu erhalten Sie wussten, dass es falsch war, dass sie Januar und Februar bereits festgelegt hatten, aber sie haben mich bis jetzt weiter bestohlen Ich habe um eine Rückerstattung gebeten, aber das wird nicht der Fall sein.Wie kann man einem solchen Unternehmen vertrauen? Warum gibt es keine Kontrolle über deren System, wenn Sie ein Abonnement abschließen? Jede Software auf der Welt verfügt über eine Überprüfung, ob für dasselbe Konto bereits ein aktives Abonnement vorhanden ist. 1Ich habe alle diese Abonnements deaktiviert und festgestellt, dass sie andere Abonnements erstellt haben, die ich nie bestellt habe, und diejenigen, die ich bereits deaktiviert habe, wieder aktiviert haben Sie haben mich ruiniert. Ich weiß nicht, wie ich den Monat mit meiner Familie und meinen Kindern ausklingen lassen soll.Gibt es Gerechtigkeit in Deutschland? ",2 Bewertungen,Bewertet mit 1 von 5 Sternen,Jo Ki,DE,,
Datum der Erfahrung: 15. Mai 2024,Jedes andere Unternehmen würde mit…,"Jedes andere Unternehmen würde mit dieser Unzuverlässigkeit und „Serviceleistung“ Insolvenz anmelden müssen. Ständig verspätet und gleichzeitig punktgenaues Abfahren (München - Wasserburg) von Anschlusszügen. Dieses Problem über Jahre nicht in Griff zu bekommen, kann nur Absicht sein. Anders kann ich mir das nicht erklären. Und ihr wundert euch, warum die ständigen Streiks nur Kopfschütteln hervorrufen? ",6 Bewertungen,Bewertet mit 1 von 5 Sternen,anonym,DE,,
Datum der Erfahrung: 18. Mai 2024,Unpünktlich,"Unpünktlich, überfüllt und überteuert! Wenn eines gewiss ist, dann das die deutsche Bahn immer eine Überraschung für dich bereit hat und diese ist nie zu deinen Gunsten. Die deutsche Bahn zeigt wieso es keine Monopole geben sollte, so viel Unzuverlässigkeit wäre in der freien Marktwirtschaft nicht möglich!",1 Bewertung,Bewertet mit 1 von 5 Sternen,Marius Hank,DE,,
Datum der Erfahrung: 16. Mai 2024,Dieses Unternehmen ist wirklich eine…,Dieses Unternehmen ist wirklich eine bodenlose Unverschämtheit!!! Ich frage mich echt wie die Deutsche Bahn so noch existieren kann. Meiner Meinung nach das mit Abstand unzuverlässigste ÖPNV in Deutschland. Jedes andere Unternehmen welches sich so verhält könnte direkt Insolvenz anmelden.Definitiv nicht zu empfehlen!,3 Bewertungen,Bewertet mit 1 von 5 Sternen,Moritz Malburg,DE,,
Datum der Erfahrung: 13. Mai 2024,Wir sind von Duisburg nach Hamburg mit…,"Wir sind von Duisburg nach Hamburg mit flixtrain gefahren. Alles war gut bis wir 6 mal wegen der DB auf den Gleisen halten musste da ein Zug der DB mal wieder zu spät war und ein Gleis blockierte auf dem Rückweg von Hamburg nach Duisburg war es besonders schlimm ein ICE blockiere die Strecke Hamburg Bremen sodass wir nach ,26 minütiger Wartezeit einen Umweg von 2 Stunden in Kauf nehmen mussten der Zug war wegen Stromversagen liegen geblieben und musste evakuiert werden. Wir als flixtrain Zug müssen immer Rücksicht auf die DB nehmen. Dadurch hatten wir eine Verspätung von 2 Stunden danke DB  und in den Medien schreiben es gab keine Probleme ",1 Bewertung,Bewertet mit 1 von 5 Sternen,Martina Domann,DE,,
